Date,Open,High,Low,Close,Volume
2002-01-02,48723.7421875,48723.7421875,48723.7421875,48723.7421875,0
2002-01-03,50387.0,50387.0,50387.0,50387.0,0
2002-01-04,50387.0,50387.0,50387.0,50387.0,0
2002-01-07,50387.0,50387.0,50387.0,50387.0,0
2002-01-08,50387.0,50387.0,50387.0,50387.0,0
2002-01-09,50387.0,50387.0,50387.0,50387.0,0
2002-01-10,50387.0,50387.0,50387.0,50387.0,0
2002-01-11,50387.0,50387.0,50387.0,50387.0,0
2002-01-14,50387.0,50387.0,50387.0,50387.0,0
2002-01-15,50387.0,50387.0,50387.0,50387.0,0
2002-01-16,50387.0,50387.0,50387.0,50387.0,0
2002-01-17,50387.0,50387.0,50387.0,50387.0,0
2002-01-18,50387.0,50387.0,50387.0,50387.0,0
2002-01-21,50387.0,50387.0,50387.0,50387.0,0
2002-01-22,50387.0,50387.0,50387.0,50387.0,0
2002-01-23,50387.0,50387.0,50387.0,50387.0,0
2002-01-24,50387.0,50387.0,50387.0,50387.0,0
2002-01-25,50387.0,50387.0,50387.0,50387.0,0
2002-01-28,50387.0,50387.0,50387.0,50387.0,0
2002-01-29,50387.0,50387.0,50387.0,50387.0,0
2002-01-30,50387.0,50387.0,50387.0,50387.0,0
2002-01-31,57040.04296875,57040.04296875,57040.04296875,57040.04296875,0
2002-02-01,57040.04296875,57040.04296875,57040.04296875,57040.04296875,0
2002-02-04,57040.04296875,57040.04296875,57040.04296875,57040.04296875,0
2002-02-05,57040.04296875,57040.04296875,57040.04296875,57040.04296875,0
2002-02-06,57040.04296875,57040.04296875,57040.04296875,57040.04296875,0
2002-02-07,57040.04296875,57040.04296875,57040.04296875,57040.04296875,0
2002-02-08,57040.04296875,57040.04296875,57040.04296875,57040.04296875,0
2002-02-11,54007.0390625,54007.0390625,54007.0390625,54007.0390625,0
2002-02-12,54007.0390625,54007.0390625,54007.0390625,54007.0390625,0
2002-02-13,54007.0390625,54007.0390625,54007.0390625,54007.0390625,0
2002-02-14,54007.0390625,54007.0390625,54007.0390625,54007.0390625,0
2002-02-15,54007.0390625,54007.0390625,54007.0390625,54007.0390625,0
2002-02-18,54007.0390625,54007.0390625,54007.0390625,54007.0390625,0
2002-02-19,54007.0390625,54007.0390625,54007.0390625,54007.0390625,0
2002-02-20,54007.0390625,54007.0390625,54007.0390625,54007.0390625,0
2002-02-21,54007.0390625,54007.0390625,54007.0390625,54007.0390625,0
2002-02-22,54007.0390625,54007.0390625,54007.0390625,54007.0390625,0
2002-02-25,54007.0390625,54007.0390625,54007.0390625,54007.0390625,0
2002-02-26,54007.0390625,54007.0390625,54007.0390625,54007.0390625,0
2002-02-27,54007.0390625,54007.0390625,54007.0390625,54007.0390625,0
